,leverage,sigma,mean,std
0,1.01,0.01,-3.8687765086292235e-06,0.00022198883332594626
1,1.01,0.013939393939393939,2.412149749209258e-06,0.000313537692536418
2,1.01,0.01787878787878788,-3.3234222316267824e-06,0.0003977956230257064
3,1.01,0.02181818181818182,2.8969046807172825e-06,0.00048447147124856143
4,1.01,0.025757575757575757,-9.08085248514533e-06,0.0005722971225975184
5,1.01,0.0296969696969697,5.8329334725052975e-06,0.00066849832354442
6,1.01,0.03363636363636364,5.740935593366103e-06,0.0007523676811593975
7,1.01,0.037575757575757575,-1.0221903834977508e-05,0.0008453804098564285
8,1.01,0.04151515151515152,-9.807916904393189e-06,0.0009364576158876565
9,1.01,0.045454545454545456,1.0142190746690628e-05,0.0010224262892906378
10,1.01,0.0493939393939394,1.915488964410239e-06,0.0011187046473905512
11,1.01,0.05333333333333334,-1.2343305748662003e-05,0.0012109765362783135
12,1.01,0.057272727272727274,-2.207642776440121e-05,0.0012957116919971017
13,1.01,0.06121212121212122,-8.63165228028382e-06,0.0013709108844727799
14,1.01,0.06515151515151515,1.0597030890945913e-05,0.0014830924172222835
15,1.01,0.06909090909090909,1.4524350055193491e-05,0.0015831448691303754
16,1.01,0.07303030303030303,2.0390508500106147e-05,0.00168509712801366
17,1.01,0.07696969696969697,-1.1180608218502397e-05,0.0017550307466698408
18,1.01,0.0809090909090909,8.674979379438414e-06,0.001883721862120863
19,1.01,0.08484848484848485,5.7361555441287515e-06,0.0019535726332473432
20,1.01,0.08878787878787879,2.3205015699982884e-05,0.0020648801061342605
21,1.01,0.09272727272727273,-3.320958336573474e-05,0.002156776261471741
22,1.01,0.09666666666666666,1.6365148429223902e-05,0.0022667423779626577
23,1.01,0.1006060606060606,1.8094462587867717e-05,0.0023798214657446233
24,1.01,0.10454545454545454,8.251334225027518e-06,0.002485707600218251
25,1.01,0.10848484848484849,-6.561261543438886e-05,0.0024955232526215655
26,1.01,0.11242424242424243,1.0431085635737924e-05,0.002679759863235667
27,1.01,0.11636363636363636,-1.400557473649866e-06,0.0027698657667236002
28,1.01,0.1203030303030303,3.287006146027459e-05,0.002893160645780298
29,1.01,0.12424242424242424,-3.455549881687618e-05,0.002925581975007485
30,1.01,0.1281818181818182,4.8133072382566535e-05,0.003113669974253415
31,1.01,0.13212121212121214,4.563247862264323e-05,0.0032383045420460244
32,1.01,0.13606060606060608,-2.5209993155792255e-06,0.003271939505117047
33,1.01,0.14,-9.946395322532142e-06,0.003396568761321152
34,1.01,0.14393939393939395,1.1522860037477012e-05,0.0035277488565409612
35,1.01,0.1478787878787879,-3.94266827208033e-06,0.003641396763338114
36,1.01,0.15181818181818182,4.711159814810387e-05,0.0037988648558533217
37,1.01,0.15575757575757576,-4.733769277526357e-05,0.0037359876969898236
38,1.01,0.15969696969696973,-5.5493194935396105e-05,0.0038494264593362322
39,1.01,0.16363636363636366,-4.006978836824865e-05,0.004130800718751856
40,1.01,0.1675757575757576,-7.90774474412652e-06,0.004213632822224379
41,1.01,0.17151515151515154,-6.621218167020779e-05,0.004225007532225067
42,1.01,0.17545454545454547,-4.590680327298832e-05,0.0043914209028621766
43,1.01,0.1793939393939394,-2.8934745382017625e-06,0.004545849037483229
44,1.01,0.18333333333333335,-0.00010025977880340164,0.004377283220065619
45,1.01,0.18727272727272729,4.937466692176858e-05,0.004870072036706695
46,1.01,0.19121212121212122,0.00012022436676010963,0.0051160537709899305
47,1.01,0.19515151515151516,-6.96172689559964e-05,0.005028771927470029
48,1.01,0.1990909090909091,3.3232936622091405e-05,0.005304868505433381
49,1.01,0.20303030303030306,-0.00010283333769205734,0.005068418950103729
50,1.01,0.206969696969697,6.295297135865177e-06,0.0056579822163987875
51,1.01,0.21090909090909093,-0.0001461587168565333,0.005387420511908979
52,1.01,0.21484848484848487,2.2755227604547478e-05,0.0058863993704557785
53,1.01,0.2187878787878788,4.262959544728128e-05,0.005883375620845383
