,leverage,sigma,mean,std
0,1.01,0.01,-2.2379128505698232e-06,0.00022444325899991644
1,1.01,0.013939393939393939,1.883690712384023e-06,0.0003135975090608741
2,1.01,0.01787878787878788,3.8689872267809733e-07,0.00040010765585786126
3,1.01,0.02181818181818182,3.7820639303598247e-06,0.0004919038647157767
4,1.01,0.025757575757575757,2.193714604734265e-06,0.0005745881798908863
5,1.01,0.0296969696969697,-4.985145258659562e-06,0.000659604667436221
6,1.01,0.03363636363636364,-6.217852371496479e-06,0.0007444189738034383
7,1.01,0.037575757575757575,-9.372114322512116e-06,0.0008429487714550773
8,1.01,0.04151515151515152,4.229440167218224e-06,0.0009283920349683152
9,1.01,0.045454545454545456,1.3954660817682596e-06,0.001014121460733071
10,1.01,0.0493939393939394,6.896210018869964e-06,0.0011104013830306471
11,1.01,0.05333333333333334,-1.9220400987730547e-05,0.0011865783969634172
12,1.01,0.057272727272727274,-3.762218039532983e-06,0.001300795333688011
13,1.01,0.06121212121212122,5.404128057046598e-06,0.0014011759766076582
14,1.01,0.06515151515151515,3.766494968938133e-05,0.0014949524004745742
15,1.01,0.06909090909090909,-1.4536129054734958e-05,0.0015688744893872072
16,1.01,0.07303030303030303,-1.897754335175883e-05,0.0016744262576568803
17,1.01,0.07696969696969697,4.308610981488392e-06,0.0017595309054943005
18,1.01,0.0809090909090909,-3.406954038356524e-05,0.0018829942520557522
19,1.01,0.08484848484848485,1.7137823699850934e-05,0.0019483543278614249
20,1.01,0.08878787878787879,3.514022236894818e-05,0.0020070729283920606
21,1.01,0.09272727272727273,3.0529812046135e-05,0.0021676754172479298
22,1.01,0.09666666666666666,2.2698151604470146e-05,0.0022639511147239527
23,1.01,0.1006060606060606,-1.6925302459140183e-05,0.00235997680565388
24,1.01,0.10454545454545454,-2.3584262514278442e-05,0.0024233658649804018
25,1.01,0.10848484848484849,5.771971399242526e-06,0.0025725729263936003
26,1.01,0.11242424242424243,5.65508018892265e-05,0.0027018692599483016
27,1.01,0.11636363636363636,-9.949037594190174e-06,0.0027862384882764964
28,1.01,0.1203030303030303,1.6828798995613597e-05,0.0028383128836684175
29,1.01,0.12424242424242424,-5.938462858498568e-05,0.0028989100957765306
30,1.01,0.1281818181818182,3.974878478398666e-05,0.0030827550663742715
31,1.01,0.13212121212121214,1.477964038504962e-05,0.003146681678976205
