,leverage,sigma,mean,std
0,1.01,0.01,-1.145622692899151e-06,0.00022191170756627219
1,1.01,0.011766917293233082,1.506611534480895e-06,0.00026116273090265486
2,1.01,0.013533834586466165,-1.3596132775258174e-06,0.00030400382800191406
3,1.01,0.015300751879699249,-6.109064487290317e-07,0.00034003836344971116
4,1.01,0.01706766917293233,1.7422047472474223e-06,0.0003842216734906595
5,1.01,0.018834586466165412,-1.1057578536906033e-07,0.00041592322534781073
6,1.01,0.020601503759398496,-3.192192936190863e-06,0.00046493766332883556
7,1.01,0.02236842105263158,-5.5825592313039185e-06,0.000498167128356465
8,1.01,0.024135338345864663,-1.8533136560488938e-06,0.0005390555870180481
9,1.01,0.025902255639097746,4.569972481553553e-06,0.0005843407291456068
10,1.01,0.02766917293233083,-2.768419013656198e-06,0.0006145257868046422
11,1.01,0.029436090225563906,1.6078378537965899e-06,0.0006544342098673897
12,1.01,0.03120300751879699,1.0879197002731845e-05,0.000702069942651437
13,1.01,0.03296992481203007,-1.1171511110218702e-05,0.000737891266288922
14,1.01,0.034736842105263156,-7.367737002821973e-06,0.0007766451651757975
15,1.01,0.03650375939849624,1.4076070493443494e-05,0.0008224376402582457
16,1.01,0.03827067669172932,7.59487043956486e-06,0.0008512988097485086
17,1.01,0.04003759398496241,7.260091635271893e-06,0.0008944190137601875
18,1.01,0.04180451127819549,-2.282759898505571e-07,0.0009493307179067433
19,1.01,0.04357142857142857,-2.2710260468274955e-06,0.0009831264720814527
20,1.01,0.04533834586466166,-1.974857092270922e-05,0.0010193678266036906
21,1.01,0.04710526315789473,-8.112029562729395e-06,0.0010603672962000577
22,1.01,0.04887218045112782,-3.0750535250540656e-05,0.0010929359211026405
23,1.01,0.0506390977443609,9.75168348152722e-07,0.001155303396678521
24,1.01,0.052406015037593984,-1.6199743104413668e-05,0.0011743730591810924
25,1.01,0.05417293233082707,-3.223521199298903e-05,0.0012145721018426803
26,1.01,0.05593984962406015,1.5082284491037967e-05,0.0012973160656401081
27,1.01,0.057706766917293234,4.4658746004826115e-06,0.0013051476125138322
28,1.01,0.05947368421052631,3.6996300555377283e-06,0.0013590673347182885
29,1.01,0.061240601503759394,-9.697736926414912e-06,0.0013923818357748587
30,1.01,0.06300751879699247,3.016011179723459e-05,0.001447444515374012
31,1.01,0.06477443609022555,1.4325091368181974e-05,0.0014771175185096085
32,1.01,0.06654135338345864,-7.112023983507187e-06,0.0015068388907619448
33,1.01,0.06830827067669172,1.5777930719560895e-05,0.0015762248685242486
34,1.01,0.0700751879699248,-6.491782331461859e-07,0.0015925643409920023
35,1.01,0.07184210526315789,-2.7164264177983267e-05,0.0016072459697567308
36,1.01,0.07360902255639097,3.438678915873388e-05,0.001696872165793264
37,1.01,0.07537593984962405,1.981431198283196e-05,0.0017328275104629629
38,1.01,0.07714285714285714,-4.719216800305315e-06,0.001748734122359338
39,1.01,0.07890977443609022,1.1620454620212983e-05,0.001819804610745007
40,1.01,0.0806766917293233,-3.5202042709164824e-05,0.001836441063722586
41,1.01,0.08244360902255637,-1.4734361060871309e-05,0.001887843516327103
42,1.01,0.08421052631578946,-3.052292043438665e-06,0.0019432127005177121
43,1.01,0.08597744360902254,-2.4642830517591807e-06,0.0019851667241703756
44,1.01,0.08774436090225562,-8.812446496281784e-06,0.002043842405744476
45,1.01,0.08951127819548871,-2.569645810510336e-05,0.0020619564870630364
46,1.01,0.09127819548872179,-3.114349646913185e-05,0.0020724668341508506
47,1.01,0.09304511278195488,1.2797969264363367e-05,0.0021269745672825753
48,1.01,0.09481203007518796,1.8322642398751422e-06,0.002182675497590942
49,1.01,0.09657894736842104,-1.1908181336730239e-05,0.0022209203567028733
50,1.01,0.09834586466165413,-1.8683753478262317e-05,0.0022980656984040275
51,1.01,0.10011278195488721,-1.3863905080979089e-05,0.002334985829206223
52,1.01,0.10187969924812029,8.135087994388923e-06,0.0023879684544448527
