,leverage,sigma,mean,std
0,1.01,0.01,6.830057774311449e-07,0.0002224643877413458
1,1.01,0.013430232558139535,-3.7332057390952356e-06,0.00030074487491673117
2,1.01,0.016860465116279068,-4.190723867269042e-06,0.0003769907105993068
3,1.01,0.020290697674418604,-9.180903276542819e-06,0.0004551447678624438
4,1.01,0.02372093023255814,4.7749699659298205e-06,0.0005299943913652983
5,1.01,0.027151162790697674,1.4578116714306966e-05,0.0006099584696471037
6,1.01,0.030581395348837206,-2.608783078159438e-06,0.0006812478432909797
7,1.01,0.034011627906976746,-4.077231188207575e-06,0.0007616514091458385
8,1.01,0.03744186046511628,1.0924693254399498e-05,0.0008375413749978129
9,1.01,0.04087209302325581,-5.959569729458259e-06,0.0009119332687284595
10,1.01,0.044302325581395345,-2.291903505237014e-06,0.0010087470004041504
11,1.01,0.047732558139534885,-1.216636325342413e-07,0.0010793415596384083
12,1.01,0.05116279069767442,-2.186318099830131e-06,0.0011459831856417333
13,1.01,0.05459302325581395,1.774023962167609e-05,0.0012598722384090382
14,1.01,0.05802325581395349,6.294922845272999e-07,0.0013293145219872066
15,1.01,0.061453488372093024,1.0836659170811158e-05,0.0014037466786665158
16,1.01,0.06488372093023255,-2.0089217974860672e-05,0.001462992179760123
17,1.01,0.06831395348837209,-2.1658633325735732e-05,0.0015238202419541687
18,1.01,0.07174418604651162,1.2734555170036387e-05,0.0016468818839260283
19,1.01,0.07517441860465116,5.748107355533649e-06,0.0017314872665847606
20,1.01,0.07860465116279068,-5.378572760631439e-06,0.0018175510270990534
21,1.01,0.08203488372093022,-1.6430326979178556e-05,0.001860525256234422
22,1.01,0.08546511627906976,1.057186719911965e-05,0.0019757902306083933
23,1.01,0.08889534883720929,1.8457107280338465e-05,0.0020657944159843413
24,1.01,0.09232558139534883,-1.0252600813062351e-05,0.002141944637800318
25,1.01,0.09575581395348837,1.6417566778317942e-05,0.00224090663291909
26,1.01,0.09918604651162789,-2.8399148500083183e-06,0.0023264460799991057
27,1.01,0.10261627906976743,-1.1421884322903563e-05,0.002355961847288904
28,1.01,0.10604651162790697,2.113906153440458e-05,0.0024780067753911077
29,1.01,0.1094767441860465,-2.7408360129213637e-05,0.002547111771561697
30,1.01,0.11290697674418604,-3.12334611141608e-05,0.002647059140563926
31,1.01,0.11633720930232556,2.610176003533915e-07,0.002753729640237385
32,1.01,0.1197674418604651,4.667936098677944e-06,0.0028253797134191695
33,1.01,0.12319767441860464,-7.426125964426988e-06,0.002874866861092292
34,1.01,0.12662790697674417,5.5730285168488045e-06,0.00302265237504274
35,1.01,0.1300581395348837,-1.8028395970971494e-05,0.003160203273080021
36,1.01,0.13348837209302325,-4.032597221944811e-06,0.0032060826263475223
37,1.01,0.1369186046511628,-9.90516549059135e-06,0.0032970253713988026
38,1.01,0.14034883720930233,-7.679352068151735e-08,0.0034150337878204626
39,1.01,0.14377906976744187,-4.650980674919703e-05,0.0034195708807356214
40,1.01,0.14720930232558138,-4.687462735744438e-05,0.0035307537366057774
41,1.01,0.15063953488372092,7.03872340308917e-06,0.0037020817065175466
42,1.01,0.15406976744186046,-5.003794376388719e-05,0.0037804829340352146
43,1.01,0.1575,-2.6712770816299726e-05,0.0039292061675690075
44,1.01,0.16093023255813954,1.84454381206918e-06,0.004033475242486497
45,1.01,0.16436046511627908,-7.061733769950668e-06,0.0041019361911894085
46,1.01,0.1677906976744186,-3.2972693886656957e-05,0.004156914166353508
47,1.01,0.17122093023255813,1.427647232250987e-05,0.0043380298724187355
48,1.01,0.17465116279069767,6.146857139961404e-05,0.004408336551105816
49,1.01,0.1780813953488372,2.5679703632893598e-05,0.004489569567244695
50,1.01,0.18151162790697675,-5.15005891383699e-05,0.004582003868969036
51,1.01,0.18494186046511626,1.691431270787258e-06,0.004827695240164289
52,1.01,0.1883720930232558,-7.100345950505577e-06,0.004948894811746216
53,1.01,0.19180232558139534,4.269149614583472e-05,0.00506121340575295
54,1.01,0.19523255813953488,-2.096816123380066e-06,0.005030018431595704
55,1.01,0.19866279069767442,5.84535129604194e-05,0.005355960538378691
56,1.01,0.20209302325581396,6.112944918411237e-05,0.005265859288921272
57,1.01,0.20552325581395348,6.249006304087916e-05,0.0055511052262968074
58,1.01,0.20895348837209302,3.847417289644036e-05,0.005503363970736193
59,1.01,0.21238372093023256,1.8676519380257357e-06,0.005587736028227992
60,1.01,0.2158139534883721,-2.4328033342632337e-05,0.005756912218801837
61,1.01,0.21924418604651164,-1.6596872934884037e-05,0.006136854185921868
62,1.01,0.22267441860465115,3.333914204444175e-05,0.0062528432758758344
63,1.01,0.2261046511627907,0.00010507031639952866,0.006347014984635026
64,1.01,0.22953488372093023,4.127738530353711e-05,0.006850161830712825
65,1.01,0.23296511627906977,-4.878697658355391e-06,0.006419743895919627
66,1.01,0.2363953488372093,-3.8358412547844744e-05,0.006582869877965734
67,1.01,0.23982558139534882,6.119097261989919e-05,0.006886756796260257
68,1.01,0.24325581395348836,2.2434605899455905e-05,0.0070441125236495004
69,1.01,0.2466860465116279,-4.354388700047313e-05,0.007148134722893604
70,1.01,0.2501162790697674,4.001927512445389e-05,0.007144984297128687
71,1.01,0.253546511627907,-0.0001318692016296586,0.006734313658656777
72,1.01,0.2569767441860465,4.36674626109935e-05,0.0078087734026158085
73,1.01,0.26040697674418606,7.212588268566161e-05,0.0078013817241980804
74,1.01,0.26383720930232557,-0.0001264301170137844,0.007851136102932125
75,1.01,0.2672674418604651,0.00015354351264540233,0.008209745094613771
76,1.01,0.27069767441860465,4.6404190995835194e-05,0.008161986398379718
77,1.01,0.27412790697674416,-4.0509679869343396e-06,0.008347055352619445
78,1.01,0.27755813953488373,4.390224604691193e-05,0.008335414765336828
79,1.01,0.28098837209302324,0.00012590084882862484,0.009172696651597412
80,1.01,0.28441860465116275,-0.0001961618563926923,0.008475174237989007
81,1.01,0.2878488372093023,-0.00015193555143187178,0.008168323295320148
82,1.01,0.29127906976744183,1.4484608967996554e-05,0.009552004187527817
83,1.01,0.2947093023255814,0.00012426920418879845,0.009821192070877489
84,1.01,0.2981395348837209,-0.00012367801419275125,0.009130866336524563
85,1.01,0.3015697674418605,5.3941297822396116e-05,0.009631540735795734
86,1.01,0.305,-2.9432016690447237e-05,0.00909514985030599
87,1.01,0.3084302325581395,5.4890149704923376e-05,0.010211487516441256
88,1.01,0.3118604651162791,-0.00016932643869770376,0.009890226238564358
89,1.01,0.3152906976744186,5.79368816883908e-05,0.010703887414729421
90,1.01,0.31872093023255815,1.0406624866087889e-05,0.011141609709562445
91,1.01,0.32215116279069766,8.712461359297165e-05,0.01094348690538081
92,1.01,0.3255813953488372,0.00023728541145773093,0.011808388535546485
93,1.01,0.32901162790697674,8.616166678042686e-05,0.011764293369016746
94,1.01,0.33244186046511626,9.31432312489433e-07,0.012969834069073894
95,1.01,0.3358720930232558,2.455897297367734e-05,0.011364021588985496
96,1.01,0.33930232558139534,0.0001288933842366795,0.01206291399845468
97,1.01,0.34273255813953485,-0.0001826105916067847,0.011373723574279989
98,1.01,0.3461627906976744,-6.245889333892852e-05,0.011057499507134576
99,1.01,0.34959302325581393,7.531403163605557e-05,0.012487625853949746
100,1.01,0.3530232558139535,7.346800624257712e-05,0.012227543827190818
101,1.01,0.356453488372093,8.598398599690766e-05,0.012113577938765852
102,1.01,0.3598837209302325,-8.542649501042243e-05,0.013480164474086904
103,1.01,0.3633139534883721,0.00011015840287800152,0.014520646131082131
104,1.01,0.3667441860465116,0.00011437660367517695,0.0137587330760107
105,1.01,0.37017441860465117,-0.00019256369551554615,0.013175518107114998
106,1.01,0.3736046511627907,-0.0001699967887280201,0.013232347479448982
107,1.01,0.3770348837209302,-0.0001340613274752017,0.012771923153197046
108,1.01,0.38046511627906976,-0.0001597131342729227,0.014517969972321399
109,1.01,0.38389534883720927,-9.522431213893217e-05,0.014783223628100568
110,1.01,0.38732558139534884,-0.00011546969183852767,0.013764715086399197
111,1.01,0.39075581395348835,-0.0001799601994656078,0.014241131475874002
112,1.01,0.3941860465116279,0.0002273003281897438,0.01869441170218248
113,1.01,0.39761627906976743,0.0001237432653017937,0.017790186517317265
114,1.01,0.40104651162790694,0.00011495065249670582,0.018001640752414696
115,1.01,0.4044767441860465,1.5510102407022043e-05,0.017068293964146924
116,1.01,0.407906976744186,-0.00012078614544886882,0.014981551690688929
117,1.01,0.4113372093023256,0.0002578563938914397,0.0179120880047601
118,1.01,0.4147674418604651,0.00015734237987271172,0.018538423212338794
119,1.01,0.4181976744186046,6.041686554331635e-05,0.01768196217529342
120,1.01,0.4216279069767442,1.8754650637361835e-05,0.018516907236541244
121,1.01,0.4250581395348837,6.359527882049179e-05,0.017144113674032093
122,1.01,0.42848837209302326,-7.45236530613814e-05,0.01721856997458091
123,1.01,0.4319186046511628,0.00019806826004729864,0.019340601844705617
124,1.01,0.4353488372093023,-4.385879294785081e-05,0.018279094790210993
125,1.01,0.43877906976744185,-0.00011254794459764632,0.021298778242049978
126,1.01,0.44220930232558137,4.912233151764539e-05,0.02276646323758053
127,1.01,0.44563953488372093,-0.00030608792389066197,0.018425370132920345
128,1.01,0.44906976744186045,6.2739642889038e-05,0.02004128592768001
129,1.01,0.45249999999999996,-0.0001498551777618409,0.018748680365854788
130,1.01,0.4559302325581395,0.00021569900389445325,0.022570264933133636
131,1.01,0.45936046511627904,-9.615558268524343e-05,0.02103505898407444
132,1.01,0.4627906976744186,-0.00020982250074357722,0.019876541217165575
133,1.01,0.4662209302325581,-0.0003779265526616743,0.021116492337886632
134,1.01,0.46965116279069763,-5.6035347176486505e-06,0.02360977443379479
135,1.01,0.4730813953488372,-0.0004907900591188259,0.020451839429319458
136,1.01,0.4765116279069767,3.36517757035123e-05,0.022347938522965287
137,1.01,0.4799418604651163,-4.5227904761342173e-05,0.023059797001386353
138,1.01,0.4833720930232558,0.00038569907365471545,0.03827666008761345
139,1.01,0.4868023255813953,-0.0001785021000871928,0.02351912436477312
