,leverage,sigma,mean,std
0,1.01,0.01,-2.1243665332894013e-07,0.00022274278465788928
1,1.01,0.015089285714285715,3.326916352064391e-08,0.000338352573042204
2,1.01,0.020178571428571428,3.6651210717195458e-06,0.00045132913705389177
3,1.01,0.02526785714285714,1.0507139379910269e-05,0.000565506443634445
4,1.01,0.030357142857142853,-1.2058148062288144e-05,0.0006858213996060159
5,1.01,0.035446428571428566,1.4985850009269773e-06,0.0008010869016725651
6,1.01,0.040535714285714286,-1.307278981148785e-06,0.0009066013465512284
7,1.01,0.045625,-1.0309051381029355e-05,0.0010281177357731991
8,1.01,0.05071428571428571,-1.9800410552132174e-05,0.001143057999523632
9,1.01,0.055803571428571425,-7.313124411765182e-06,0.0012678521418070098
10,1.01,0.06089285714285714,-1.1779794749477834e-05,0.0013797796998745472
11,1.01,0.06598214285714285,1.880348410764484e-05,0.0015047283807533812
12,1.01,0.07107142857142856,-1.3581509174879903e-05,0.0016124073723413762
13,1.01,0.07616071428571428,-1.2914958188240866e-05,0.0017636303014319941
14,1.01,0.08124999999999999,6.252584973505465e-06,0.0018833331579611342
15,1.01,0.0863392857142857,-8.958873320307014e-06,0.0019693890935231916
16,1.01,0.09142857142857141,-1.6353203573333457e-05,0.002094424520948556
17,1.01,0.09651785714285713,-4.284000349479117e-06,0.002226252777161824
18,1.01,0.10160714285714284,-2.407982812355488e-05,0.0023935609165938445
19,1.01,0.10669642857142855,-1.3932160681619943e-05,0.0024981419868429005
20,1.01,0.11178571428571427,-3.066209793169483e-05,0.0026071237599660157
21,1.01,0.11687499999999998,3.448042485142264e-05,0.0027796278562248608
22,1.01,0.12196428571428569,1.5289475586354785e-05,0.002906186593265447
23,1.01,0.1270535714285714,-1.7325897247855655e-05,0.003064482742093329
24,1.01,0.13214285714285715,-5.947651449784945e-05,0.003163546491055248
25,1.01,0.13723214285714286,2.0921075234850188e-05,0.003316228548445019
26,1.01,0.14232142857142857,-6.828140144155642e-06,0.0034824315465710924
27,1.01,0.14741071428571428,-3.40516481929017e-05,0.0035790890671810443
28,1.01,0.1525,-3.481358503081206e-05,0.003711767124779153
29,1.01,0.1575892857142857,6.274567457966143e-05,0.003953535090955998
30,1.01,0.16267857142857142,-1.3778685575534505e-05,0.004000796557981431
31,1.01,0.16776785714285714,1.915836476349352e-05,0.004172532797621962
32,1.01,0.17285714285714285,-2.4325630999722567e-05,0.004375450990782954
33,1.01,0.17794642857142856,4.995849492054578e-05,0.004561326230735665
34,1.01,0.18303571428571427,-2.787681984599659e-05,0.004649932167102878
35,1.01,0.188125,6.0165914599921064e-05,0.004919888155340782
36,1.01,0.1932142857142857,5.190445681766833e-05,0.005056085349559859
37,1.01,0.1983035714285714,-6.689977314291978e-06,0.0051796678586367734
38,1.01,0.20339285714285713,-3.9294595678668345e-05,0.005203034697119561
39,1.01,0.20848214285714284,-0.0001719328867384656,0.005139665438458971
40,1.01,0.21357142857142855,-2.599775416695227e-05,0.005830647557935567
