,leverage,sigma,mean,std
0,1.01,0.01,6.756399922518863e-07,0.0002237824589694442
1,1.01,0.012964824120603015,-4.1190952949343605e-06,0.0002893167543677452
2,1.01,0.015929648241206032,2.6400165378682726e-06,0.00035938876903436964
3,1.01,0.018894472361809043,-5.0570434439117016e-06,0.00042120005480336946
4,1.01,0.021859296482412062,-2.4130033981856203e-07,0.00048619651461522765
5,1.01,0.024824120603015074,1.6227479102257526e-06,0.0005515272734065706
6,1.01,0.027788944723618092,-5.640595558134443e-06,0.0006166651813737783
7,1.01,0.030753768844221104,7.86031782803206e-06,0.0006934371964065096
8,1.01,0.03371859296482412,-3.2069963040554096e-06,0.0007503888155853788
9,1.01,0.036683417085427134,-5.422706900140173e-06,0.0008157151705320204
10,1.01,0.03964824120603015,-4.359626838335839e-06,0.0008934295100667398
11,1.01,0.042613065326633164,6.051578415547376e-06,0.0009520665332107834
12,1.01,0.04557788944723618,4.605869567559872e-06,0.0010312818072901703
13,1.01,0.0485427135678392,-6.895797834015194e-06,0.0010786161849939185
14,1.01,0.05150753768844221,-1.3133164416110776e-05,0.0011692581849657997
15,1.01,0.054472361809045224,1.4859915382027178e-05,0.0012234695164821047
16,1.01,0.05743718592964824,-1.0963432091800618e-06,0.001298735307468814
17,1.01,0.06040201005025126,5.523396688115978e-06,0.0013732950889889877
18,1.01,0.06336683417085427,1.461150131295489e-05,0.0014469607247079542
19,1.01,0.06633165829145728,1.0047085304270641e-05,0.0015109402334307271
20,1.01,0.0692964824120603,-9.988224166246729e-06,0.001568395187333209
21,1.01,0.07226130653266331,9.098829901594096e-06,0.0016823567405727874
22,1.01,0.07522613065326632,2.3699801731810645e-05,0.0017035009713655483
23,1.01,0.07819095477386934,-2.3651834280654554e-05,0.0017735252736621329
24,1.01,0.08115577889447236,-3.1992799152763964e-05,0.0018479128856348796
25,1.01,0.08412060301507537,6.235657949773349e-06,0.0019295006324144973
26,1.01,0.08708542713567839,-2.5135277228795668e-05,0.002003507686711347
27,1.01,0.0900502512562814,-5.007055178332892e-06,0.002077668961292699
28,1.01,0.09301507537688442,1.3442244891028276e-05,0.0021668136623416456
29,1.01,0.09597989949748743,2.8474462643684727e-05,0.002232908894071307
30,1.01,0.09894472361809044,-7.837554545638725e-06,0.0022848579510087604
31,1.01,0.10190954773869346,-5.292478570820513e-05,0.002360928626242001
32,1.01,0.10487437185929648,-1.3314718181719376e-05,0.0024294449060416855
33,1.01,0.1078391959798995,-2.841322551138919e-05,0.002525903235707099
34,1.01,0.11080402010050251,-3.5643422189110804e-05,0.00260542323055761
35,1.01,0.11376884422110552,2.6465485710827384e-05,0.002693554476345187
36,1.01,0.11673366834170854,-5.511522742439973e-06,0.0027807463311988077
37,1.01,0.11969849246231155,-1.7873350262633435e-05,0.002824126460960784
38,1.01,0.12266331658291456,1.723776587198002e-05,0.002951048199220342
39,1.01,0.12562814070351758,-4.4975368377438764e-06,0.0029710161255060894
40,1.01,0.1285929648241206,-9.810512419349888e-06,0.003099730753338429
41,1.01,0.1315577889447236,-5.058447918862316e-05,0.0031148597256239244
42,1.01,0.13452261306532665,-3.0170416034056237e-06,0.003291755321106873
43,1.01,0.13748743718592965,-2.085390805839674e-05,0.0033002404094736658
44,1.01,0.14045226130653266,3.807459517575749e-05,0.003394167899765178
45,1.01,0.1434170854271357,2.7088180439465085e-05,0.0034353829732193955
46,1.01,0.1463819095477387,-1.2192392780620914e-05,0.003615513255823012
47,1.01,0.14934673366834172,-3.035257420123601e-05,0.0036337201117248668
48,1.01,0.15231155778894473,-3.243513445954197e-05,0.0037348120084754466
49,1.01,0.15527638190954773,-2.239739514182916e-05,0.003798868888045954
50,1.01,0.15824120603015077,-6.90211670082655e-05,0.0038494151157024317
51,1.01,0.16120603015075377,-3.581038393612429e-06,0.003958786770542266
